year,Region,number_of_deaths,average_population,calculated_rate,published_rate,rate_difference
2023,Quebec,309.0,8804828.0,3.51,3.5,0.01
2023,Saskatchewan,348.0,1207468.25,28.82,28.8,0.02
2023,Yukon,17.0,45154.5,37.65,37.4,0.25
2024,Alberta,1198.0,4881401.5,24.54,24.4,0.14
2024,British Columbia,2347.0,5651758.25,41.53,41.4,0.13
2024,Manitoba,373.0,1487105.5,25.08,25.0,0.08
2024,New Brunswick,85.0,854480.75,9.95,9.9,0.05
2024,Newfoundland and Labrador,47.0,545509.5,8.62,8.6,0.02
2024,Northwest Territories,7.0,45113.25,15.52,15.5,0.02
2024,Nova Scotia,67.0,1078235.0,6.21,6.2,0.01
2024,Nunavut,,41271.0,,,
2024,Ontario,2265.0,16091407.25,14.08,14.0,0.08
2024,Prince Edward Island,7.0,178841.25,3.91,3.9,0.01
2024,Quebec,645.0,8972062.0,7.19,7.2,-0.01
2024,Saskatchewan,271.0,1243439.5,21.79,21.7,0.09
2024,Yukon,14.0,47196.25,29.66,29.4,0.26
2025,Alberta,1145.0,5017119.0,22.82,22.8,0.02
2025,British Columbia,1841.0,5695104.0,32.33,32.3,0.03
2025,Manitoba,231.0,1507608.5,15.32,15.3,0.02
2025,New Brunswick,72.0,867817.75,8.3,8.3,0.0
2025,Newfoundland and Labrador,24.0,549486.75,4.37,4.4,-0.03
2025,Northwest Territories,2.0,45838.0,4.36,4.4,-0.04
2025,Nova Scotia,78.0,1091331.5,7.15,7.1,0.05
2025,Nunavut,,41799.5,,,
2025,Ontario,1398.0,16240430.0,8.61,8.6,0.01
2025,Prince Edward Island,13.0,181785.0,7.15,7.1,0.05
2025,Quebec,591.0,9050243.0,6.53,6.5,0.03
2025,Saskatchewan,221.0,1264813.5,17.47,17.4,0.07
2025,Yukon,14.0,48201.0,29.05,29.0,0.05
